"customer_id","name","total_spent","customer_category"
3,"Manav","5213.57","Gold"
67,"Harsh","5155.73","Gold"
270,"Meera","5077.11","Gold"
120,"Kavya","5065.66","Gold"
53,"Manav","5040.21","Gold"
210,"Radhika","4984.20","Silver"
44,"Vivaan","4948.45","Silver"
196,"Lavanya","4942.56","Silver"
54,"Aniket","4941.00","Silver"
273,"Diya","4930.85","Silver"
246,"Nandini","4858.68","Silver"
189,"Shreya","4855.39","Silver"
262,"Ananya","4831.89","Silver"
278,"Atharv","4806.83","Silver"
138,"Dhruv","4796.26","Silver"
2,"Arjun","4789.40","Silver"
179,"Manav","4772.09","Silver"
216,"Ananya","4708.24","Silver"
162,"Neha","4707.67","Silver"
156,"Kavya","4685.95","Silver"
295,"Nandini","4589.26","Silver"
25,"Saanvi","4571.02","Silver"
250,"Bhavya","4549.35","Silver"
95,"Aniket","4520.13","Silver"
108,"Deepak","4462.33","Silver"
261,"Saanvi","4445.20","Silver"
19,"Siddharth","4440.86","Silver"
293,"Deepak","4439.62","Silver"
139,"Aniket","4423.48","Silver"
291,"Sai","4419.71","Silver"
4,"Aditya","4377.74","Silver"
169,"Riya","4369.34","Silver"
233,"Saanvi","4332.36","Silver"
296,"Pooja","4303.16","Silver"
275,"Arjun","4272.78","Silver"
157,"Ishita","4247.75","Silver"
187,"Tanya","4236.38","Silver"
81,"Atharv","4230.44","Silver"
256,"Simran","4228.02","Silver"
102,"Rahul","4225.84","Silver"
191,"Anjali","4221.52","Silver"
249,"Kavya","4200.10","Silver"
8,"Riya","4176.91","Silver"
193,"Aditi","4133.45","Silver"
55,"Deepak","4105.13","Silver"
21,"Reyansh","4088.51","Silver"
224,"Raj","4072.19","Silver"
15,"Vivaan","4059.41","Silver"
237,"Shreya","4048.45","Silver"
269,"Anjali","4046.98","Silver"
114,"Siddharth","4019.40","Silver"
286,"Krishna","4001.63","Silver"
105,"Siddharth","3996.40","Silver"
124,"Shreya","3995.52","Silver"
72,"Myra","3980.24","Silver"
99,"Anika","3966.16","Silver"
26,"Navya","3959.00","Silver"
103,"Atharv","3948.97","Silver"
287,"Meera","3940.12","Silver"
213,"Aniket","3939.58","Silver"
211,"Ananya","3931.64","Silver"
174,"Rahul","3922.53","Silver"
253,"Siddharth","3913.83","Silver"
164,"Payal","3891.76","Silver"
52,"Aanya","3881.30","Silver"
251,"Saanvi","3879.74","Silver"
24,"Amit","3873.73","Silver"
240,"Pooja","3869.64","Silver"
171,"Varun","3848.59","Silver"
130,"Ishita","3830.25","Silver"
112,"Muhammad","3828.33","Silver"
150,"Arnav","3808.91","Silver"
223,"Shreya","3769.79","Silver"
266,"Nikhil","3768.81","Silver"
263,"Priya","3748.83","Silver"
201,"Nandini","3747.90","Silver"
37,"Ananya","3728.75","Silver"
101,"Deepak","3724.96","Silver"
107,"Karthik","3687.60","Silver"
284,"Raj","3625.34","Silver"
239,"Tanya","3619.66","Silver"
180,"Ishita","3616.11","Silver"
205,"Kavya","3615.13","Silver"
135,"Saanvi","3614.24","Silver"
257,"Sneha","3587.77","Silver"
283,"Sara","3561.61","Silver"
13,"Kunal","3556.34","Silver"
194,"Riya","3540.67","Silver"
78,"Aditya","3448.89","Silver"
277,"Rohan","3448.46","Silver"
258,"Komal","3437.10","Silver"
74,"Vivaan","3417.34","Silver"
47,"Arnav","3385.07","Silver"
225,"Payal","3332.65","Silver"
209,"Muhammad","3294.92","Silver"
221,"Arjun","3241.82","Silver"
10,"Shaurya","3227.04","Silver"
79,"Shaurya","3224.02","Silver"
178,"Raj","3206.71","Silver"
146,"Bhavya","3198.54","Silver"
288,"Rohan","3165.30","Silver"
153,"Arjun","3150.12","Silver"
70,"Komal","3149.88","Silver"
9,"Raj","3140.09","Silver"
38,"Dhruv","3090.68","Silver"
264,"Neha","3079.21","Silver"
158,"Nikhil","2970.01","Silver"
134,"Ayaan","2902.77","Silver"
110,"Arnav","2871.68","Silver"
252,"Ananya","2870.52","Silver"
48,"Navya","2788.56","Silver"
64,"Pari","2782.60","Silver"
222,"Saanvi","2777.10","Silver"
92,"Payal","2771.63","Silver"
91,"Shreya","2757.28","Silver"
232,"Tanya","2751.32","Silver"
226,"Myra","2705.17","Silver"
11,"Shreya","2664.93","Silver"
117,"Aanya","2635.76","Silver"
57,"Navya","2619.72","Silver"
188,"Varun","2616.74","Silver"
65,"Pooja","2579.58","Silver"
60,"Meera","2554.84","Silver"
280,"Nandini","2543.59","Silver"
259,"Harsh","2516.49","Silver"
33,"Shreya","2492.69","Silver"
121,"Shaurya","2487.56","Silver"
132,"Pooja","2487.16","Silver"
98,"Aarav","2418.79","Silver"
115,"Ira","2409.83","Silver"
126,"Swara","2381.81","Silver"
97,"Aditya","2346.48","Silver"
111,"Shaurya","2338.91","Silver"
5,"Kunal","2301.89","Silver"
279,"Lavanya","2290.28","Silver"
61,"Anjali","2281.17","Silver"
181,"Vihaan","2279.27","Silver"
297,"Anjali","2275.70","Silver"
1,"Aarav","2272.47","Silver"
80,"Manav","2270.27","Silver"
248,"Swara","2253.16","Silver"
63,"Sai","2240.95","Silver"
289,"Reyansh","2233.99","Silver"
166,"Aditya","2229.86","Silver"
100,"Sneha","2134.52","Silver"
22,"Payal","2105.11","Silver"
76,"Manav","2102.11","Silver"
109,"Varun","2015.18","Silver"
113,"Bhavya","1994.86","Bronze"
41,"Arjun","1981.91","Bronze"
145,"Simran","1961.19","Bronze"
131,"Myra","1961.13","Bronze"
298,"Shaurya","1937.19","Bronze"
151,"Sara","1899.55","Bronze"
35,"Sneha","1890.87","Bronze"
238,"Ananya","1887.00","Bronze"
241,"Deepak","1877.01","Bronze"
17,"Ira","1831.59","Bronze"
141,"Deepak","1818.59","Bronze"
93,"Ananya","1803.90","Bronze"
234,"Atharv","1797.35","Bronze"
215,"Tanya","1794.90","Bronze"
245,"Payal","1781.87","Bronze"
32,"Harsh","1747.45","Bronze"
159,"Aanya","1706.12","Bronze"
84,"Siddharth","1617.04","Bronze"
271,"Pooja","1607.72","Bronze"
7,"Lavanya","1551.97","Bronze"
30,"Meera","1548.81","Bronze"
69,"Neha","1470.85","Bronze"
219,"Ananya","1469.39","Bronze"
200,"Sneha","1467.83","Bronze"
128,"Muhammad","1335.49","Bronze"
285,"Aniket","1309.68","Bronze"
122,"Diya","1151.90","Bronze"
161,"Kabir","1121.52","Bronze"
175,"Sai","1057.93","Bronze"
59,"Vihaan","1041.32","Bronze"
73,"Pari","961.82","Bronze"
18,"Anika","955.71","Bronze"
66,"Lavanya","885.85","Bronze"
14,"Aditi","855.32","Bronze"
272,"Manav","828.74","Bronze"
144,"Pari","828.37","Bronze"
165,"Karthik","827.93","Bronze"
173,"Raj","817.63","Bronze"
186,"Atharv","781.86","Bronze"
230,"Aarav","772.63","Bronze"
119,"Yash","634.84","Bronze"
96,"Priya","597.46","Bronze"
12,"Sneha","549.94","Bronze"
176,"Manav","539.04","Bronze"
94,"Arnav","528.24","Bronze"
143,"Kunal","474.51","Bronze"
46,"Arjun","385.66","Bronze"
50,"Pooja","341.77","Bronze"
90,"Bhavya","332.16","Bronze"
56,"Rohan","251.95","Bronze"
